department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
CNPS,CNPS 362 Basic Interviewing Skills,Development of basic interviewing skills for counselling and guidance.,Credits: 3,"For more information, please email pro-d.educ.ubc.ca",null,,,,,,,,,,,,
ARTH,ARTH 533B Studies in Medieval Art - MEDEVAL ART,,Credits: 3,null,null,,,,,,,,,,,,
JRNL,JRNL 520A Special Topics in Contemporary Journalism - DECDE SOC MEDIA,,Credits: 3,null,null,,,,,,,,,,,,
MUSC,MUSC 162B Wind and Percussion Chamber Ensembles - BRASS CHAMB ENS,"May be repeated for credit in accordance with program requirements for B.Mus. or B.A. in Music. Open to other students by audition, with credit, as stipulated by their faculties.",Credits: 2,null,null,,,,,,,,,,,,
AUDI,AUDI 530C Research Methods - RESEARCH METHODS,May be taken more than once for credit.,Credits: 1,null,null,,,,,,,,,,,,
EDST,EDST 561A Practicum - PRACTICUM,,Credits: 3,null,null,,,,,,,,,,,,
LARC,LARC 581B Directed Studies in Landscape Planning and Sustainability - DST LANDSC PL&SU,,Credits: 3,null,null,,,,,,,,,,,,
PSYT,PSYT 550A Directed Studies - DIRECTED STUDIES,Reading and study in particular fields of study and research in psychiatry.,Credits: 3,10-word description:  Interdisciplinary to the max.  Developmental issues relevant to real life.,null,,,,,,,,,,,,
ASIA,ASIA 300 Writing and Culture in East Asia,"Practical, aesthetic, historical, technological and political issues pertaining to the use of Chinese characters - hanzi (Chinese), kanji (Japanese), or hanccha (Korean) - throughout the region.",Credits: 3,null,null,,,,,,,,,,,,
MICB,MICB 499 Co-operative Work Placement IV,"Work experience in an industrial research setting, taken during the Winter Session (Term 1) of fifth year. Restricted to students admitted to the Co-operative Education Program of Biotechnology in Microbiology and Immunology.",Credits: 3,"Pre-reqs:     One of MICB 399, MICB 498.",null,,,,,,,,,,,,
KIN,"KIN 381 Leisure, Sport and Popular Culture",Selected aspects of leisure and sport examined in relation to modern social structures and cultures. Credit will be granted for only one of KIN 281 or KIN 381.,Credits: 3,Pre-reqs:      (Third-year standing.),null,,,,,,,,,,,,
BMEG,BMEG 599 M.A. Sc. Thesis,,Credits: 12,null,null,,,,,,,,,,,,
PSYC,PSYC 218 Analysis of Behavioural Data,"Use of inferential statistics in psychology and conceptual interpretation of data; experimental design (laboratory, field research methods); presentation of data analyses in reports. PSYC 218 excludes credit for a number of other statistics courses in various departments. Please consult the Science Exclusion List (www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414) before registering.",Credits: 3,"Pre-reqs:     PSYC 217. (And a major in Psychology, Cognitive Systems, or Speech Sciences.)","Co-reqs:      Either (a) PSYC 100 or (b) all of PSYC 101, PSYC 102.",,,,,,,,,,,,
ANTH,"ANTH 428 Medicine, Technology, Culture, and Society","A medical anthropological perspective on medical science, technology, translational research, and clinical practice, in laboratory, clinic, family, social, and cultural contexts. Topics include explanatory models of health, acute and chronic illness, disability; social and cultural dimensions genetics; clinical interaction.",Credits: 3,"clinic, family, social, and cultural contexts. We will focus our attention",null,,,,,,,,,,,,
DENT,DENT 741 Specialty Rotations,,Credits: 0,null,null,,,,,,,,,,,,
NURS,NURS 520 Administrative Leadership in Nursing,"Study of organizational behaviour, management methods and administrative processes in health care.",Credits: 3,Co-reqs:      NURS 511.,null,,,,,,,,,,,,
FMST,FMST 210 Family Context of Human Development,The influence of family dynamics and social conditions on human development.,Credits: 3,null,null,,,,,,,,,,,,
THTR,THTR 410 Dramaturgy,"Advanced problems in dramaturgy, both in a historical and a contemporary context.",Credits: 3,null,null,,,,,,,,,,,,
BUSI,BUSI 354 Cost Accounting,The provision and analysis of cost accounting information that will assist management in making operating decisions and in evaluating operational performance.,Credits: 3,Pre-reqs:     BUSI 294. (or equivalent.),null,,,,,,,,,,,,
LAW,LAW 465 Introduction to Corporate Finance,"Interdisciplinary elements of corporate finance and law, in both theory and practice.",Credits: 3,"Pre-reqs:     One of LAW  230, LAW  459.",null,,,,,,,,,,,,
MUSC,MUSC 165B World Music Ensembles - BALINESE GAMELAN,"Training on traditional instruments and their techniques, with emphasis on ensemble performance. Different sections focus on the music of different cultures, e.g., Bali, China, Ghana, Korea. May be repeated for credit in accordance with program requirements for B.Mus. or B.A. in Music, or when permitted in other programs.",Credits: 2,null,null,,,,,,,,,,,,
COMM,COMM 486H Special Topics in Business - ADV TPC INVSTMNT,,Credits: 3,null,null,,,,,,,,,,,,
DENT,DENT 510 Pediatric Dentistry Literature Review I,Continues in year 2.,Credits: 6,null,null,,,,,,,,,,,,
